codigo_inep,escola
41138430,BOM JESUS SAO JOSE DOS PINHAIS COL EDUC INFANTIL ENSINO FUNDAMENTAL E MEDIO
41131789,BOM JESUS SEMINARIO
35150061,BOM RETIRO COLEGIO
31365599,BOM SUCESSO ESCOLA MONTESSORIANA
41385616,BONAPARTE CEF M
35811543,BOSCARIOLI COLEGIO
41361555,BOSCO C DEI EF M
41163117,BOSCO COLOMBO C DEI EF M
41150635,BOSCO DE MARINGA II C DEM
41145461,BOSCO TOMAZINA C DEI EF M
35117195,BRAGA MELLO COLEGIO
35457334,BRANTA DE EDUCACAO INSTITTUTO
35810617,BRASIL COLEGIO
35114923,BRASIL COLEGIO
35133565,BRASIL JOVEM COLEGIO
35153771,BRASILEIRA ESCOLA DE EDUCACAO
35131660,BRASILIA DE SAO PAULO COLEGIO
35135094,BRASILIS COLEGIO
35161937,BRAZILIAN INTERNATIONAL SCHOOL
35154337,BRIDA COLEGIO
53016963,C DE ENS DO SESI DF - SOBRADINHO
53010450,C DE ENS EBENEZER - CENEB
53038002,C DE ENS MEDIO DELTA
31246395,C EDUC COEDUCAR
31312096,C EDUC DE ERVALIA
31247481,C EDUC GALILEU GALILEI
31274691,C EDUC GENNY GOMES
31223131,C EDUC MARIA MADALENA F PASS0S
31229865,C EDUC SAO TOMAS DE AQUINO
31245372,C EDUC SEBASTIANA ALVES
31196142,C EDUC TEC GAL EDMUNDO M S SILVA
53014707,C EDUCACIONAL CCI SENIOR
53013808,C EDUCACIONAL DPAULA
53001087,C EDUCACIONAL LEONARDO DA VINCI
53001095,C EDUCACIONAL LEONARDO DA VINCI - UNID NORTE
53017315,C EDUCACIONAL LOGOS
53010973,C EDUCACIONAL PROJECAO SOBRADINHO
53003721,C EDUCACIONAL PROJECAO TAGUATINGA NORTE
53010507,C EDUCACIONAL RENASCENCA
53001192,C EDUCACIONAL SAGRADA FAMILIA
53001222,C EDUCACIONAL SIGMA
53020006,C EDUCACIONAL SIGMA - ASA NORTE
53015347,C EDUCACIONAL SIGMA AGUAS CLARAS
53013387,C EDUCATIVO PASSIONISTA MAE DA SANTA ESPERANCA
53009967,C OLIMPICO DE ENSINO
24084174,CADE - CENTRO AVANCADO DE ENSINO
35442446,CADMUS COLEGIO
41076087,CAESP
41162650,CAESP MEDIANEIRA C - EI EF M
35560820,CAETANO ALVARES COLEGIO UNIDADE I
35174142,CAICARA COLEGIO
41163559,CAMBARA C EM
35288822,CAMINHAR INSTITUTO EDUCACIONAL
35126792,CAMINHO FELIZ CENTRO DE ENSINO CECAF
35007102,CAMINO SCHOOL
35172741,CAMOES COLEGIO
35566809,CAMP COLEGIO
35288100,CAMPOS DE HOLAMBRA ESCOLA COOPERATIVA DE EDUCACAO BASICA
35140806,CANADA COLEGIO
33198640,CANADIAN SCHOOL OF NITEROI -ITACOATIARA
35186173,CANCAO NOVA INSTITUTO
35112951,CANDELARIA COLEGIO
35288573,CANDELARIA INSTITUTO EDUCACIONAL
35071936,CANELLO MARQUES COLEGIO
35195133,CANOPUS COLEGIO
35480289,CANTAREIRA ENSINO MEDIO COLEGIO UNIDADE II
35186454,CANTINHO ALEGRE ESCOLA ED INFANTIL E ENS FUNDAMENTAL E MEDIO
33185417,CAP- COLEGIO DE APLICACAO IURJ
35125416,CARAGUATA CENTRO EDUCACIONAL
35468400,CARBONELL COLEGIO
35313524,CARDEAL LIZARTE COLEGIO
35174087,CARITAS ESCOLA
25153820,CARL ROGERS - CENTRO DE EDUCACAO
35174658,CARLOS CHAGAS FILHO EEIEFM
41019644,CARLOS D DE ANDRADE CEI EF M
35135549,CARLOS DRUMMOND DE ANDRADE COLEGIO
35142759,CARLOS DRUMMOND DE ANDRADE COLEGIO
35124679,CARLOS DRUMOND DE ANDRADE COLEGIO
35142839,CARLOS DRUMOND DE ANDRADE COLEGIO
35144125,CARLOS DRUMOND DE ANDRADE COLEGIO
23079843,CARLOS LOBO SC LTDA INSTITUTO PEDAGOGICO PROF
35159190,CARLOS MONTEIRO LICEU
35109708,CARMO COLEGIO
35106159,CARNEIRO RIBEIRO PROF COLEGIO
31365424,CASA VIVA EDUCACAO E CULTURA
